s,intensity
9.43398,4.2592
9.05539,0.0679381
8.77496,7.95535
8.60233,1.60632
8.544,9.74884
8.60233,0.11866
8.77496,7.85856
9.05539,0.0456983
9.43398,4.33777
9.89949,0.162028
9.69536,1.14184
9.11043,121.078
8.60233,2.45396
8.18535,351.238
7.87401,3.59811
7.68115,388.913
7.61577,3.8783
7.68115,335.637
7.87401,2.40302
8.18535,339.809
8.60233,0.966468
9.11043,134.217
9.69536,0.260027
9.69536,0.025834
9,3.67697
8.3666,4.26881
7.81025,10.3875
7.34847,0.18226
7,17.2859
6.78233,29.8491
6.7082,21.7363
6.78233,16.4146
7,18.7189
7.34847,7.33318
7.81025,9.98581
8.3666,2.62518
9,3.67806
9.69536,0.00691441
9.89949,1.08378
9.11043,147.945
8.3666,3.47961
7.68115,474.671
7.07107,9.02947
6.55744,552.467
6.16441,13.6731
5.91608,1701.53
5.83095,11.1212
5.91608,2194.9
6.16441,8.02106
6.55744,624.321
7.07107,3.42815
7.68115,392.758
8.3666,0.884299
9.11043,154.776
9.89949,0.149425
9.43398,1.14855
8.60233,1.17477
7.81025,4.27402
7.07107,18.88
6.40312,10.8097
5.83095,0.139304
5.38516,24.7155
5.09902,258.001
5,27.6431
5.09902,84.8604
5.38516,20.5346
5.83095,37.011
6.40312,12.3011
7.07107,23.8547
7.81025,4.45454
8.60233,0.00380289
9.43398,1.10944
9.94987,63.0318
9.05539,2.4425
8.18535,243.885
7.34847,9.07297
6.55744,852.949
5.83095,17.5726
5.19615,3547.55
4.69042,26.4328
4.3589,2576.22
4.24264,32.089
4.3589,1680.5
4.69042,17.6868
5.19615,3276
5.83095,7.24603
6.55744,1089.13
7.34847,2.00632
8.18535,236.396
9.05539,0.32783
9.94987,61.283
9.69536,0.0160402
8.77496,0.45121
7.87401,0.733972
7,2.13961
6.16441,29.2449
5.38516,6.44983
4.69042,0.14105
4.12311,8.07448
3.74166,288.082
3.60555,11.9144
3.74166,121.181
4.12311,11.2823
4.69042,53.5163
5.38516,5.35999
6.16441,26.05
7,2.05845
7.87401,0.00630957
8.77496,0.499934
9.69536,0.112275
9.53939,84.6064
8.60233,3.65363
7.68115,469.722
6.78233,12.145
5.91608,1531.86
5.09902,29.7747
4.3589,2445.3
3.74166,44.3653
3.31662,5319.09
3.16228,39.4967
3.31662,6169.36
3.74166,27.3492
4.3589,2601.16
5.09902,11.3828
5.91608,1388.27
6.78233,2.9706
7.68115,484.608
8.60233,0.50398
9.53939,87.9617
9.53939,84.6064
8.60233,3.65363
7.68115,469.722
6.78233,12.145
5.91608,1531.86
5.09902,29.7747
4.3589,2445.3
3.74166,44.3653
3.31662,5319.09
3.16228,39.4967
3.31662,6169.36
3.74166,27.3492
4.3589,2601.16
5.09902,11.3828
5.91608,1388.27
6.78233,2.9706
7.68115,484.608
8.60233,0.50398
9.53939,87.9617
9.69536,0.0160402
8.77496,0.45121
7.87401,0.733972
7,2.13961
6.16441,29.2449
5.38516,6.44983
4.69042,0.14105
4.12311,8.07448
3.74166,288.082
3.60555,11.9144
3.74166,121.181
4.12311,11.2823
