s,intensity
2.36287,3506.06
2.36467,3603.6
2.36647,3705.69
2.36827,3808.56
2.37007,3916
2.37187,4026.15
2.37367,4140.67
2.37547,4252.77
2.37728,4368.25
2.37908,4489.96
2.38088,4614.14
2.38268,4743.57
2.38448,4872.45
2.38628,5001.75
2.38808,5134.79
2.38988,5267.55
2.39168,5406.56
2.39348,5542.99
2.39528,5683.83
2.39708,5825.09
2.39888,5968.92
2.40068,6112.96
2.40248,6257.71
2.40428,6404.8
2.40608,6550.52
2.40788,6698.8
2.40968,6846.95
2.41148,6994.6
2.41328,7141.8
2.41508,7287.14
2.41688,7434.76
2.41868,7577.52
2.42048,7724.84
2.42228,7868.24
2.42408,8014.01
2.42589,8153.8
2.42769,8294.15
2.42949,8431.28
2.43129,8566.36
2.43309,8700.35
2.43489,8829.41
2.43669,8954.33
2.43849,9082.63
2.44029,9201.97
2.44209,9319.99
2.44389,9436.13
2.44569,9547.83
2.44749,9656.49
2.44929,9757.57
2.45109,9856.17
2.45289,9950.39
2.45469,10040.9
2.45649,10125.8
2.45829,10204.7
2.46009,10279.7
2.46189,10350.6
2.46369,10415.1
2.46549,10473.3
2.46729,10528.5
2.46909,10578.3
2.47089,10619.9
2.47269,10655.1
2.47449,10688.2
2.4763,10710.4
2.4781,10728.9
2.4799,10743.7
2.4817,10752.2
2.4835,10752.7
2.4853,10747.6
2.4871,10736.4
2.4889,10719.7
2.4907,10695.7
2.4925,10667.2
2.4943,10631.4
2.4961,10589.2
2.4979,10545.5
2.4997,10494
2.5015,10435.5
2.5033,10372.9
2.5051,10301.6
2.5069,10225.4
2.5087,10146.4
2.5105,10063
2.5123,9972.1
2.5141,9877.92
2.5159,9781.46
2.5177,9677.06
2.5195,9569.89
2.5213,9455.51
2.5231,9340.36
2.5249,9219.8
2.52671,9094.7
2.52851,8970.39
2.53031,8836.88
2.53211,8706.12
2.53391,8568.64
2.53571,8430.52
2.53751,8292.82
2.53931,8148.8
2.54111,8003.37
2.54291,7855.86
2.54471,7707.33
2.54651,7558.8
2.54831,7405.52
2.55011,7254.69
2.55191,7103.31
2.55371,6949.37
2.55551,6798.76
2.55731,6646.9
2.55911,6492.86
2.56091,6340.85
2.56271,6187.73
2.56451,6037.03
2.56631,5886.87
2.56811,5737.05
2.56991,5589.34
2.57171,5442.73
2.57351,5297.66
2.57531,5155.75
2.57712,5016.06
2.57892,4874.22
2.58072,4736.76
2.58252,4601.42
2.58432,4468.31
2.58612,4338.57
2.58792,4211.65
2.58972,4087.54
2.59152,3964.22
2.59332,3843.96
2.59512,3729.61
2.59692,3613
2.59872,3500.77
2.60052,3395.66
2.60232,3290.56
2.60412,3188.88
2.60592,3089.32
2.60772,2992.97
2.60952,2901.73
2.61132,2812.94
2.61312,2727.16
2.61492,2642.89
2.61672,2562.75
2.61852,2484.33
2.62032,2409.8
2.62212,2340.19
2.62392,2272.82
2.62573,2206.91
2.62753,2144.58
2.62933,2087.89
2.63113,2030.58
2.63293,1974.35
2.63473,1925.02
2.63653,1876.62
2.63833,1830.31
2.64013,1786.63
2.64193,1746.41
2.64373,1708.57
2.64553,1674.88
2.64733,1640.6
2.64913,1609.92
2.65093,1581.39
2.65273,1554.44
2.65453,1531.57
2.65633,1509.25
2.65813,1488.68
2.65993,1469.89
2.66173,1455.59
2.66353,1442.88
2.66533,1430.4
2.66713,1421.73
2.66893,1413.53
2.67073,1408.1
2.67253,1403.22
2.67434,1400.12
2.67614,1400.61
2.67794,1403.02
2.67974,1404.55
2.68154,1410.48
2.68334,1417.37
2.68514,1425.59
2.68694,1433.93
2.68874,1446.7
2.69054,1462.03
2.69234,1477.28
2.69414,1491.82
2.69594,1510.17
2.69774,1530.01
2.69954,1550.05
2.70134,1574.74
2.70314,1600.24
2.70494,1627.03
2.70674,1653.76
2.70854,1681.63
2.71034,1711.94
2.71214,1744.55
2.71394,1776.41
2.71574,1809.93
2.71754,1849.19
2.71934,1885.68
2.72114,1923.57
2.72294,1961.83
2.72474,2001.66
2.72655,2043.88
2.72835,2086.32
2.73015,2127.77
2.73195,2173.61
2.73375,2218.08
2.73555,2263.79
2.73735,2309.27
2.73915,2355.9
2.74095,2402.32
2.74275,2449.39
2.74455,2497.76
2.74635,2547.06
2.74815,2593.24
2.74995,2640.24
2.75175,2686.86
2.75355,2735.11
2.75535,2781.43
2.75715,2828.27
2.75895,2876.63
2.76075,2920.77
2.76255,2966.63
2.76435,3007.7
2.76615,3051.14
2.76795,3091.53
2.76975,3132.39
2.77155,3173.66
2.77335,3211.49
2.77516,3248.02
2.77696,3284.04
2.77876,3316.67
2.78056,3348.19
2.78236,3377.61
2.78416,3406.18
2.78596,3433.52
2.78776,3458.7
2.78956,3482.14
2.79136,3501.99
2.79316,3518.8
2.79496,3536.11
2.79676,3550.63
2.79856,3563.49
2.80036,3572.89
2.80216,3580.74
2.80396,3587.94
2.80576,3590.46
2.80756,3590.78
2.80936,3587.95
2.81116,3586.22
2.81296,3582.51
2.81476,3574.57
2.81656,3564.32
2.81836,3554.53
2.82016,3540.71
2.82196,3524.5
2.82376,3506.35
2.82557,3487.67
2.82737,3466.48
2.82917,3444.59
2.83097,3420.98
2.83277,3394.08
2.83457,3365.28
2.83637,3336.7
2.83817,3306.98
2.83997,3275.19
2.84177,3242.88
2.84357,3208.6
2.84537,3174.32
2.84717,3137.95
2.84897,3099.37
2.85077,3062.61
2.85257,3023.18
2.85437,2984.91
2.85617,2945.11
2.85797,2906.38
2.85977,2864.68
2.86157,2822.42
2.86337,2783.37
2.86517,2740.97
2.86697,2697.29
2.86877,2654.87
